configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
101,35.0,,,sr3,0.1,0.05,0.01,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014120768755674362,,,
102,35.0,,,sr3,0.1,0.05,0.1,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014458522200584412,,,
103,35.0,,,sr3,0.1,0.05,1.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014013126492500305,,,
104,35.0,,,sr3,0.1,0.05,10.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014711394906044006,,,
105,35.0,,,sr3,0.1,0.05,0.01,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0019070766866207123,,,
106,35.0,,,sr3,0.1,0.05,0.1,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0018497351557016373,,,
107,35.0,,,sr3,0.1,0.05,1.0,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.001853790134191513,,,
108,35.0,,,sr3,0.1,0.05,10.0,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0018572919070720673,,,
109,35.0,,,sr3,0.1,0.05,0.01,1,8,1,4.0,28.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0036440007388591766,,,
110,35.0,,,sr3,0.1,0.05,0.1,1,8,1,4.0,28.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0036349520087242126,,,
111,35.0,,,sr3,0.1,0.05,1.0,1,8,1,4.0,28.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0030481815338134766,,,
112,35.0,,,sr3,0.1,0.05,10.0,1,8,1,4.0,28.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.003584889695048332,,,
113,35.0,,,sr3,0.1,0.05,0.01,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.003021538257598877,,,
114,35.0,,,sr3,0.1,0.05,0.1,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.003604244440793991,,,
115,35.0,,,sr3,0.1,0.05,1.0,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.002855539321899414,,,
116,35.0,,,sr3,0.1,0.05,10.0,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.00269278883934021,,,
117,35.0,,,sr3,0.1,0.05,0.01,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.002815583720803261,,,
118,35.0,,,sr3,0.1,0.05,0.1,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0027576349675655365,,,
119,35.0,,,sr3,0.1,0.05,1.0,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0027739200741052628,,,
120,35.0,,,sr3,0.1,0.05,10.0,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.002746492624282837,,,
121,35.0,,,sr3,0.1,0.05,0.01,1,8,2,8.0,56.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.002727694809436798,,,
122,35.0,,,sr3,0.1,0.05,0.1,1,8,2,8.0,56.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0027757026255130768,,,
123,35.0,,,sr3,0.1,0.05,1.0,1,8,2,8.0,56.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0027791503816843033,,,
124,35.0,,,sr3,0.1,0.05,10.0,1,8,2,8.0,56.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0027156025171279907,,,
125,35.0,,,sr3,0.1,0.05,0.01,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.00271797738969326,,,
126,35.0,,,sr3,0.1,0.05,0.1,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,72,,0.0026808232069015503,,,
