configuration_index,lowpass_hz,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
107,35.0,36.85636440989091,3,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,1309,1320,99.16666666666667,17.551896132528782,9,5,4,0.5555555555555556,False,integration error: model derivative became non-finite,True
108,35.0,36.85636440989091,3,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,1304,1320,98.78787878787878,17.376177459955215,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
109,80.0,37.49490932254601,1,2,1,4.0,4.0,0,0.0,finite_difference,4,6,66.66666666666667,0.4160673916339874,9,9,0,1.0,True,,True
110,80.0,37.49490932254601,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.10256446525454521,9,9,0,1.0,True,,True
111,80.0,37.49490932254601,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.08364872820675373,9,9,0,1.0,True,,True
112,80.0,37.49490932254601,1,2,2,8.0,8.0,0,0.0,finite_difference,5,6,83.33333333333333,0.0757621917873621,9,9,0,1.0,True,,True
113,80.0,37.49490932254601,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.0856009591370821,9,9,0,1.0,True,,True
114,80.0,37.49490932254601,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.08380701765418053,9,9,0,1.0,True,,True
115,80.0,37.49490932254601,1,2,5,20.0,20.0,0,0.0,finite_difference,5,6,83.33333333333333,0.07116505317389965,9,9,0,1.0,True,,True
116,80.0,37.49490932254601,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.08366769924759865,9,9,0,1.0,True,,True
117,80.0,37.49490932254601,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,5,6,83.33333333333333,0.08487355522811413,9,9,0,1.0,True,,True
118,80.0,37.49490932254601,1,4,1,4.0,12.0,0,0.0,finite_difference,19,20,95.0,0.1525742206722498,9,9,0,1.0,True,,True
119,80.0,37.49490932254601,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,19,20,95.0,0.15830110013484955,9,9,0,1.0,True,,True
120,80.0,37.49490932254601,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,17,20,85.0,0.16136040724813938,9,9,0,1.0,True,,True
121,80.0,37.49490932254601,1,4,2,8.0,24.0,0,0.0,finite_difference,16,20,80.0,0.14857275038957596,9,9,0,1.0,True,,False
122,80.0,37.49490932254601,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,17,20,85.0,0.1551336981356144,9,9,0,1.0,True,,False
123,80.0,37.49490932254601,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,18,20,90.0,0.16593811847269535,9,9,0,1.0,True,,True
