configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
21,4,success,,14.068,14.068,81.25129630789161,107127,3518,162.2907607907034,3518,164.364124812022,164.21995016939343
21,312,success,,14.176,14.176,85.104785785079,113948,3545,86.4950145079423,3545,92.89266881433224,92.77343300909465
21,620,success,,14.176,14.176,80.75336020998657,105197,3545,166.9303572421722,3545,171.6596113152975,171.54427535937737
21,622,success,,14.176,14.176,89.75709226354957,118609,3545,133.23560223298963,3545,138.73827379451973,138.8221546761874
21,778,success,,14.176,14.176,71.3454561792314,94875,3545,83.14793281233428,3545,89.23769970755231,89.21363461870837
21,1088,success,,14.18,14.18,77.46674616262317,100692,3546,113.03551727170593,3546,121.49237285034503,121.38728153702276
21,1244,success,,14.068,14.068,68.69402736052871,91259,3518,219.4916833263738,3518,221.98144746050394,221.72807257232208
22,2,success,,14.156,14.156,35.288953153416514,46633,3540,53.35816052210511,3540,65.67687447966716,65.582122817296
22,3,success,,14.156,14.156,30.477351861074567,40354,3540,75.12925776034527,3540,81.14815317422327,80.920428427989
22,4,success,,14.048,14.048,47.85400130413473,63031,3513,11.102397191597216,3513,29.40889619359637,29.409108529247277
22,312,success,,14.156,14.156,36.8595870397985,49102,3540,35.52727518712116,3540,48.61187854361027,48.60465338142127
22,620,success,,14.156,14.156,46.757976872846484,60908,3540,12.248486326890585,3540,41.54931896397815,41.53542749870456
22,622,success,,14.156,14.156,34.97838892042637,45773,3540,48.72410685238724,3540,61.97694413922456,61.93573533382416
22,778,success,,14.156,14.156,37.13134329020977,49437,3540,44.82066119585392,3540,54.689759330061676,54.614670450403956
22,1088,success,,14.16,14.16,38.35162563249469,49872,3541,38.746563486372764,3541,59.68610767386332,59.68731895367231
22,1244,success,,14.048,14.048,43.04890304990113,57326,3513,67.87762014236786,3513,77.33529675905842,77.21854006817784
23,2,success,,14.156,14.156,30.615428453311324,42732,3540,54.45004951983267,3540,66.73549421859506,66.55700637212841
23,3,success,,14.156,14.156,28.923019494861364,40893,3540,77.15774022680081,3540,82.60461955140313,82.47568414955583
23,4,success,,14.048,14.048,47.29541484080255,64561,3513,11.507293538386655,3513,29.215599501765496,29.216624626022814
23,312,success,,14.156,14.156,33.222181087359786,47497,3540,36.65219870368175,3540,50.46457250020211,50.39117645809051
23,620,success,,14.156,14.156,42.868843492120504,59332,3540,13.100732407856519,3540,42.446413460013254,42.43094670715782
