configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
47,3,35.0,4,1,5,0.05,1.0,150,3,True,,2.0,1.0498649884945928,0.0565163937611284,0.8309874726254597,1.0890395344456387,0.1771424325848269,0.1896207584830339
47,3,35.0,4,1,5,0.0,1.0,20,3,True,,2.0,1.0275464187011245,0.0659707599187887,0.8741968482912453,1.0439929073828305,0.1767181513804051,0.1956087824351297
47,3,35.0,4,1,5,0.0,1.0,150,3,True,,2.0,1.0275464187011245,0.0659707599187887,0.8741968482912453,1.0439929073828305,0.1767181513804051,0.1956087824351297
47,3,35.0,4,1,5,0.05,1.0,20,1244,True,,2.0,1.439387305079119,0.1237203651647154,0.6383274544310279,1.046378760540973,0.2780762983350985,0.2375249500998004
47,3,35.0,4,1,5,0.05,1.0,150,1244,True,,2.0,1.439387305079119,0.1237203651647154,0.6383274544310279,1.046378760540973,0.2780762983350985,0.2375249500998004
47,3,35.0,4,1,5,0.0,1.0,20,1244,True,,2.0,1.402096680033425,0.1322295440372351,0.6836031207795732,0.96676061022675,0.2814021467845901,0.2075848303393213
47,3,35.0,4,1,5,0.0,1.0,150,1244,True,,2.0,1.402096680033425,0.1322295440372351,0.6836031207795732,0.96676061022675,0.2814021467845901,0.2075848303393213
47,3,35.0,4,1,5,0.05,1.0,20,778,True,,2.0,1.3146544445719002,0.0173426058950268,0.9186357347309438,1.3073971155290922,0.5106979645595745,0.1676646706586826
47,3,35.0,4,1,5,0.05,1.0,150,778,True,,2.0,1.3146544445719002,0.0173426058950268,0.9186357347309438,1.3073971155290922,0.5106979645595745,0.1676646706586826
47,3,35.0,4,1,5,0.0,1.0,20,778,True,,2.0,1.2572134013826477,0.0117234595953702,0.8304450163821362,1.179108245252284,0.5114596103111281,0.1497005988023952
