lead_s,aesindy_skill,persistence_skill,n_forecasts
0.76,-0.03152753074605141,-0.11619130366324949,234
0.764,-0.03739896311372567,-0.1095264306205935,234
0.768,-0.04625180871827704,-0.11471131650656875,234
0.772,-0.05369538860445451,-0.13166963649885716,234
0.776,-0.05938327656304038,-0.1568769326452797,234
0.78,-0.06710036551227673,-0.18440211724091574,234
0.784,-0.07967931871055633,-0.20725034342091553,234
0.788,-0.09454812496707252,-0.21936984447366045,234
0.792,-0.10590178001571048,-0.21873802752891713,234
0.796,-0.1113098222088738,-0.20910197306788508,234
0.8,-0.1136668224083536,-0.19777799292714965,234
0.804,-0.11647105143323039,-0.19206976834362513,234
0.808,-0.12001458691461418,-0.196512613023572,234
0.812,-0.12226669659542058,-0.21036911806104597,234
0.8160000000000001,-0.12187435887722953,-0.22689535340705927,234
0.8200000000000001,-0.11873496217203801,-0.23662926313877275,234
0.8240000000000001,-0.1123063974561038,-0.23272701534559484,234
0.8280000000000001,-0.1009986355919347,-0.2144142230173638,234
0.8320000000000001,-0.08353568112559198,-0.18775390499219394,234
0.836,-0.06068671629363206,-0.1623636493345282,234
0.84,-0.032534092744580335,-0.14536329596713654,234
0.844,0.001384338998803587,-0.13855329987871884,234
0.848,0.03858183038126711,-0.13998155067575682,234
0.852,0.07218810886671585,-0.14759771434761962,234
0.856,0.09772017917411517,-0.1606685144842591,234
0.86,0.11456891940005075,-0.17728091228482984,234
0.864,0.12439232293551959,-0.19206398275736983,234
0.868,0.13010763570144612,-0.19794441527538603,234
0.872,0.13353930805354852,-0.19115646147632512,234
0.876,0.13272582932575716,-0.17314628352812592,234
0.88,0.12452040893400958,-0.1494881436690394,234
0.884,0.11034656799327822,-0.1289122947911522,234
0.888,0.09895198941422137,-0.12029735924922519,234
0.892,0.10001429364555273,-0.12796748629413024,234
0.896,0.11627095154942803,-0.14893455500742245,234
0.9,0.14075614657785193,-0.17498888239830418,234
0.904,0.163802130473123,-0.19854884070056805,234
0.908,0.1786705324794831,-0.2160772536949926,234
0.912,0.18273633782665405,-0.2276066784615162,234
0.916,0.1775716186066064,-0.23546052294687866,234
0.92,0.16648822470008814,-0.242263398413536,234
0.924,0.15088100494635892,-0.24855496590590465,234
0.928,0.13028850494279756,-0.25235280147812683,234
0.932,0.10581990696269485,-0.25141129233210935,234
0.936,0.08218849895102817,-0.24591131126419588,234
0.9400000000000001,0.0649388973023742,-0.2383421590115781,234
0.9440000000000001,0.055144768989618134,-0.23031898303905668,234
0.9480000000000001,0.04966907178389217,-0.22063474531091257,234
0.9520000000000001,0.04253099299735642,-0.20772651317173946,234
0.9560000000000001,0.028580965934884146,-0.19274938497938754,234
0.96,0.005994224354959871,-0.1784463359334118,234
0.964,-0.025051888245534067,-0.16623715818696466,234
