dataset,channel,window_start_s,window_end_s,window_duration_s,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,samples_per_window_before_downsample,samples_per_window_after_downsample,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only_windowed,0,0.1,4.5,4.4,4,5,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2665694099055619,0.19974484071067483,3640.5567655954274,5062.007137110459,60.33702648950665,71.14778378214221,17,1085,1085,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,5,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2779757493074746,0.20577127839023013,3583.891401873569,5023.901380635702,59.865611179320375,70.87948490667594,60,1085,1085,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,5,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2665694099055619,0.19974484071067483,3640.5567655954274,5062.007137110459,60.33702648950665,71.14778378214221,17,1085,1085,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,5,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2779753929895409,0.20577008098687732,3583.893166053603,5023.90895864132,59.86562591382139,70.87953836363016,59,1085,1085,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,5,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.26656884869926933,0.19974432083649543,3640.5595532840794,5062.010428357418,60.337049590480305,71.14780691179045,16,1085,1085,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,5,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2779728771671418,0.2057444802574243,3583.9056292980704,5024.070977206663,59.86573000722592,70.88068126934633,57,1085,1085,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.974471198228112,0.9735479598317432,126.63498496018822,167.30146819070993,11.25322109265557,12.934506878528842,33,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9749246387793603,0.9737280808579566,124.38581377914393,166.161945326249,11.152838821535257,12.89038189218027,155,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9744711305698552,0.9735480414805915,126.63532050607655,167.30095148111388,11.253236001527585,12.934486904439384,26,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9749245992590502,0.9737281138195373,124.38600973909065,166.16173673256904,11.152847606736616,12.890373801118765,142,1095,1095,ok,
